ORG_ID,WATER_SUPPLIER_NAME,WORKSHEET_NAME,REVIEWED_BY_DWR,REQUIREMENTS_ADDRESSED,WATER_DEMAND_TYPE,WATER_DEMAND_VOLUME_2020,WATER_DEMAND_VOLUME_2025,WATER_DEMAND_VOLUME_2030,WATER_DEMAND_VOLUME_2035,WATER_DEMAND_VOLUME_2040,WATER_DEMAND_VOLUME_2045
129,Banning  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,2185,2852,3745,4700,5702,6734
129,Banning  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,8369,9506,10701,11752,12670,13467
129,Banning  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
159,Beaumont - Cherry Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
159,Beaumont - Cherry Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,13818,14972,15698,16391,17285,18082
159,Beaumont - Cherry Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,0,1957,2175,2478,2561,2578
167,Bella Vista Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,11268,9969,10181,10397,10616,10843
167,Bella Vista Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
167,Bella Vista Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
170,Bellflower - Somerset Mutual Water Company,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,109,125,125,125,125,125
170,Bellflower - Somerset Mutual Water Company,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,5875,5878,5882,5886,5890,5893
170,Bellflower - Somerset Mutual Water Company,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
178,Benicia  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
178,Benicia  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,9383,10036,10086,10202,10312,10556
178,Benicia  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
193,Beverly Hills  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
193,Beverly Hills  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,9565,11933,12131,12340,12582,12768
193,Beverly Hills  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
197,Big Bear Community Services District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,,,,,,
197,Big Bear Community Services District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,1067,1185,1206,1227,1249,1271
197,Big Bear Community Services District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
198,Big Bear Lake  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,2332,2146.715665,2164,2190,2231,2283
198,Big Bear Lake  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
198,Big Bear Lake  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
241,Blythe  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,3121,3461,3697,3915,4124,4318
241,Blythe  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
241,Blythe  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
262,Brawley  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
262,Brawley  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
262,Brawley  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,2170,2250,2335,2421,2513,2606
263,Brea  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
263,Brea  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
263,Brea  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,9131,9543,9695,9691,9725,9745
264,Brentwood  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,0,0,0,0,0,0
264,Brentwood  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,4015,3816,4030,4255,4492,4745
264,Brentwood  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,316,364,412,460,508,508
283,Buena Park  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
283,Buena Park  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,13247,14303,13541,13665,13769,13848
283,Buena Park  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
285,Burbank  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,15885,24862,26776,28186,28512,28810
285,Burbank  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,3146,3540,3540,3540,3540,3540
285,Burbank  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
286,Burlingame  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
286,Burlingame  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
286,Burlingame  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1271,1533,1571,1617,1668,1721
351,Calaveras County Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,441,566,692,815,940,1046
351,Calaveras County Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
351,Calaveras County Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,6596,12388,21655,28337,35549,43860
368,California American Water Company - Los Angeles Division,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
368,California American Water Company - Los Angeles Division,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,19455,21596,21894,22194,22405,22618
368,California American Water Company - Los Angeles Division,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
369,California American Water Company - Monterey District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,9139,10442,11882,12475,13065,13657
369,California American Water Company - Monterey District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,1943,5206,6952,6973,6993,7014
369,California American Water Company - Monterey District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,788,4028,5750,5750,5750,5750
372,California American Water Company - Sacramento District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
372,California American Water Company - Sacramento District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,10746,10280,11263,12040,12998,0
372,California American Water Company - Sacramento District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
373,California American Water Company - San Diego District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,3293,3281,3359,3439,3521,0
373,California American Water Company - San Diego District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,0,0,365,365,365,
373,California American Water Company - San Diego District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
376,California American Water Company - Ventura District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
376,California American Water Company - Ventura District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,15124,16660,16772,16878,16976,17078
376,California American Water Company - Ventura District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
384,California Water Service Company Antelope Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
384,California Water Service Company Antelope Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,700,672.74757,654.2209372,659.238174,663.6968523,669.7721618
384,California Water Service Company Antelope Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
386,California Water Service Company Bakersfield,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
386,California Water Service Company Bakersfield,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
386,California Water Service Company Bakersfield,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,59418.234,60439,62680.94,65408.12,67871.28,70314.47
387,California Water Service Company Bear Gulch,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
387,California Water Service Company Bear Gulch,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
387,California Water Service Company Bear Gulch,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,12972.41,12796.285,12699.056,12730.383,12675.34,12694.276
388,California Water Service Company Chico District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
388,California Water Service Company Chico District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
388,California Water Service Company Chico District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,22666.861,23376.126,24511.425,25571.149,26097.78,26473.796
390,"California Water Service Company Dixon, City of",Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
390,"California Water Service Company Dixon, City of",Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
390,"California Water Service Company Dixon, City of",Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1391.206913,1335.143,1295.344,1301.881,1307.324,1320.534
391,California Water Service Company Dominguez,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,4587,4737,4737,4737,4737,4737
391,California Water Service Company Dominguez,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
391,California Water Service Company Dominguez,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,28381.384,28371.401,28109.886,28148.7,28199.646,28349.263
392,California Water Service Company East Los Angeles,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,35,35,35,35,35,35
392,California Water Service Company East Los Angeles,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
392,California Water Service Company East Los Angeles,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,14229.98649,13833.16,13513.75,13516.99,13532.01,13625.75
396,California Water Service Company Hermosa/Redondo,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
396,California Water Service Company Hermosa/Redondo,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,10944.983,10660.384,10493.474,10485.22,10479.588,10564.196
396,California Water Service Company Hermosa/Redondo,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,208,193,193,193,193,193
397,California Water Service Company Kern River Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
397,California Water Service Company Kern River Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
397,California Water Service Company Kern River Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,779.375,766.427,763.683,760.362,757.046,754.955
398,California Water Service Company King City,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
398,California Water Service Company King City,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
398,California Water Service Company King City,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1675,1661.76,1671.21,1710.63,1749.94,1797.22
401,California Water Service Company Livermore,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,9571,9333.41,9360.56,9515.35,9555.26,9632.42
401,California Water Service Company Livermore,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
401,California Water Service Company Livermore,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
402,California Water Service Company Los Altos/Suburban,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,13023,13006.893,13003.293,13323.877,13666.093,14097.357
402,California Water Service Company Los Altos/Suburban,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,64,100,100,100,100,100
402,California Water Service Company Los Altos/Suburban,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
405,California Water Service Company Marysville,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
405,California Water Service Company Marysville,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,2012.337,1966.791,1941.522,1921.502,1905.419,1897.276
405,California Water Service Company Marysville,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
420,California Water Service Company Mid Peninsula,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,14562.606,14417.705,14529.729,14786.092,14977.365,15278.55
420,California Water Service Company Mid Peninsula,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
420,California Water Service Company Mid Peninsula,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
412,California Water Service Company Oroville,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
412,California Water Service Company Oroville,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
412,California Water Service Company Oroville,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,2752.542,2654.008,2599.391,2593.655,2586.921,2585.767
413,California Water Service Company Palos Verdes,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,18067,17873.07,17781.55,17949.73,18069.75,18300.21
413,California Water Service Company Palos Verdes,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,0,0,194,194,194,194
413,California Water Service Company Palos Verdes,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
416,California Water Service Company Redwood Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
416,California Water Service Company Redwood Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
416,California Water Service Company Redwood Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,380.774,359.592,343.588,339.424,334.997,333.743
417,California Water Service Company Salinas District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,16467.08,16608.582,16988.045,17575.182,18174.584,18852.75
417,California Water Service Company Salinas District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
417,California Water Service Company Salinas District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
421,California Water Service Company Selma,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
421,California Water Service Company Selma,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,4591.713,4433.693,4396.823,4539.704,4659.251,4799.774
421,California Water Service Company Selma,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
422,California Water Service Company South San Francisco,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
422,California Water Service Company South San Francisco,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,6936.177,7543.153,7482.586,7634.724,8000.042,8422.925
422,California Water Service Company South San Francisco,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
424,California Water Service Company Stockton,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
424,California Water Service Company Stockton,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
424,California Water Service Company Stockton,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,24106,23733,23588,23548,23480,23517.28
427,California Water Service Company Visalia,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
427,California Water Service Company Visalia,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
427,California Water Service Company Visalia,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,30152.071,32519.69,35275.529,38310.167,41258.209,44529.499
428,California Water Service Company Westlake,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
428,California Water Service Company Westlake,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,450,436,436,436,436,436
428,California Water Service Company Westlake,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,7065.835,6942.561,6818.273,6821.207,6815.768,6836.413
429,California Water Service Company Willows,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
429,California Water Service Company Willows,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
429,California Water Service Company Willows,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1316.453,1526.737,1616.736,1615.138,1875.689,1880.814
443,Camarillo  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,187,206,206,206,206,206
443,Camarillo  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
443,Camarillo  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,7840,6464,6330,6458,6518,6580
445,Cambria Community Service District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
445,Cambria Community Service District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,540.62,580,590,610,630,630
445,Cambria Community Service District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,475,475,493,513,533,543
467,Camrosa Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
467,Camrosa Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,7580,7565,7641,7965,8042,0
467,Camrosa Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,11649,10200,10200,10200,10200,
478,Carlsbad Municipal Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
478,Carlsbad Municipal Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,13929,16302,16655,17086,17519,18045
478,Carlsbad Municipal Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,3764,4218,4218,4218,4218,4218
481,Carmichael Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
481,Carmichael Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
481,Carmichael Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,9190,8860,8950,9070,9160,9280
485,Carpinteria Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,4105,4111,4170,4381,4452,4530
485,Carpinteria Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
485,Carpinteria Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,0,0,1000,1000,1000,1000
495,Casitas Municipal Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
495,Casitas Municipal Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
495,Casitas Municipal Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,7817,10169,10169,10169,10169,0
1050,Casitas Municipal Water District - Ojai,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1050,Casitas Municipal Water District - Ojai,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1050,Casitas Municipal Water District - Ojai,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1751,1850,1850,1850,1850,0
522,Ceres  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
522,Ceres  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,2151,2996,3528,4152,4152,0
522,Ceres  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
524,Cerritos  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,8455,9857,10539,10851,11064,11276
524,Cerritos  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
524,Cerritos  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,2159,2500,2500,2500,2500,2500
545,Chino  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,4828,4500,4500,4000,3800,3800
545,Chino  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
545,Chino  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,15273,16343,17810,19087,20164,21308
547,Chino Hills  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,12262.7,15510.5,15725,16068.7,16116.7,16159.8
547,Chino Hills  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
547,Chino Hills  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,1414,1609,1609,1609,1609,1609
2979,"Chowchilla, City of Water Department",Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,833,1078,1396,1805,2338,3027
2979,"Chowchilla, City of Water Department",Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
2979,"Chowchilla, City of Water Department",Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
