ORG_ID,WATER_SUPPLIER_NAME,WORKSHEET_NAME,REVIEWED_BY_DWR,REQUIREMENTS_ADDRESSED,WP_WUEDATA_PLAN_ID,USE_TYPE,ADDITIONAL_DESCRIPTION,LEVEL_OF_TREATMENT,VOLUME_AF
93,Arcadia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,5447,Losses,,Drinking Water,518
93,Arcadia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,5447,Landscape,,Drinking Water,715
93,Arcadia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,5447,Institutional/Governmental,,Drinking Water,860
93,Arcadia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,5447,Commercial,,Drinking Water,1776
93,Arcadia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,5447,Multi-Family,,Drinking Water,2072
94,Arcata  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7274,Losses,real losses,Drinking Water,365.1976542
94,Arcata  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7274,Other,unbilled authorized consumption (estimated),Drinking Water,110.4799626
94,Arcata  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7274,Sales/Transfers/Exchanges to other agencies,Jacoby Creek Water District,Drinking Water,67.5155327
94,Arcata  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7274,Institutional/Governmental,schools only,Drinking Water,92.0666355
94,Arcata  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7274,Industrial,,Drinking Water,64.44664485
94,Arcata  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7274,Commercial,,Drinking Water,217.8910374
94,Arcata  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7274,Multi-Family,,Drinking Water,263.9243551
94,Arcata  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7274,Single Family,,Drinking Water,607.6397943
102,Arvin Community Service District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5765,Multi-Family,,Drinking Water,217.8910374
102,Arvin Community Service District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5765,Single Family,,Drinking Water,1841.33271
102,Arvin Community Service District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5765,Commercial,,Drinking Water,76.72219625
102,Arvin Community Service District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5765,Industrial,,Drinking Water,46.03331775
102,Arvin Community Service District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5765,Institutional/Governmental,,Drinking Water,61.377757
102,Arvin Community Service District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5765,Landscape,,Drinking Water,98.2044112
102,Arvin Community Service District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5765,Losses,,Drinking Water,227.0977009
107,Atascadero Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7175,Losses,,Drinking Water,533.9864859
107,Atascadero Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7175,Landscape,,Drinking Water,371.3354299
107,Atascadero Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7175,Industrial,,Drinking Water,3.06888785
107,Atascadero Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7175,Commercial,,Drinking Water,380.5420934
107,Atascadero Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7175,Multi-Family,,Drinking Water,435.7820747
107,Atascadero Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,7175,Single Family,,Drinking Water,3572.185457
117,Azusa Light and Water,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5612,Single Family,Including Multi-Family,Drinking Water,9131.34
117,Azusa Light and Water,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5612,Commercial,,Drinking Water,3494.8
117,Azusa Light and Water,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5612,Industrial,,Drinking Water,1512.59
117,Azusa Light and Water,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5612,Landscape,,Drinking Water,932.53
117,Azusa Light and Water,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5612,Other Potable,,Drinking Water,2.9
117,Azusa Light and Water,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5612,Losses,,Drinking Water,3076.29
123,Bakersfield  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5757,Multi-Family,,Drinking Water,1534
123,Bakersfield  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5757,Commercial,,Drinking Water,6904
123,Bakersfield  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5757,Industrial,,Drinking Water,314
123,Bakersfield  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5757,Institutional/Governmental,Public Facilities,Drinking Water,3527
123,Bakersfield  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5757,Other,Construction Water,Drinking Water,250
123,Bakersfield  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5757,Losses,see notes,Drinking Water,3134
123,Bakersfield  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5757,Single Family,,Drinking Water,29986
124,Bakman Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6589,Landscape,,Drinking Water,150.3755047
124,Bakman Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6589,Single Family,Includes residential landscaping,Drinking Water,1371.792869
124,Bakman Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6589,Multi-Family,Includes commercial,Drinking Water,1374.861757
124,Bakman Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6589,Losses,Accounts for real and apparent losses,Drinking Water,343.7154392
129,Banning  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5614,Losses,,Drinking Water,1275
129,Banning  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5614,Commercial,,Drinking Water,1992
129,Banning  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5614,Industrial,,Drinking Water,172
129,Banning  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5614,Institutional/Governmental,,Drinking Water,23
129,Banning  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5614,Landscape,,Other Non-Potable Water,301
129,Banning  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5614,Multi-Family,,Drinking Water,81
129,Banning  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5614,Landscape,,Drinking Water,559
129,Banning  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5614,Single Family,,Drinking Water,3966
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Sales/Transfers/Exchanges to other agencies,(2) Production on behalf of the City of Banning,Drinking Water,0
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Losses,Estimated,Drinking Water,1326
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Agricultural irrigation,,Drinking Water,51
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Landscape,Non-Potable Water Only,Other Non-Potable Water,1647
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Landscape,Potable Water Only,Drinking Water,193
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Institutional/Governmental,Estimated,Drinking Water,1020
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Industrial,,Drinking Water,172
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Commercial,Estimated,Drinking Water,197
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Multi-Family,,Drinking Water,339
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Single Family,,Drinking Water,8580
159,Beaumont - Cherry Valley Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,6161,Other,"Metered construction, street sweeping, etc",Drinking Water,293
167,Bella Vista Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5807,Single Family,,Drinking Water,5611
167,Bella Vista Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5807,Commercial,,Drinking Water,530
167,Bella Vista Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5807,Institutional/Governmental,,Drinking Water,1060
167,Bella Vista Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5807,Agricultural irrigation,,Drinking Water,2572
167,Bella Vista Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5807,Sales/Transfers/Exchanges to other agencies,,Drinking Water,4
167,Bella Vista Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5807,Other Potable,,Drinking Water,5
167,Bella Vista Water District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5807,Losses,,Drinking Water,1486
170,Bellflower - Somerset Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5955,Multi-Family,,Drinking Water,2497
170,Bellflower - Somerset Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5955,Single Family,,Drinking Water,1390
170,Bellflower - Somerset Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5955,Commercial,,Drinking Water,687
170,Bellflower - Somerset Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5955,Institutional/Governmental,,Drinking Water,102
170,Bellflower - Somerset Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5955,Landscape,,Drinking Water,30
170,Bellflower - Somerset Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5955,Sales/Transfers/Exchanges to other agencies,Sales to City of Bellflower and Bellflower Home Garden Water Company,Drinking Water,1014
170,Bellflower - Somerset Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5955,Losses,,Drinking Water,146
170,Bellflower - Somerset Mutual Water Company,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5955,Other Potable,Construction,Drinking Water,9
178,Benicia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5494,Industrial,,Drinking Water,102
178,Benicia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5494,Landscape,,Drinking Water,565
178,Benicia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5494,Other Potable,Minor Uses,Drinking Water,18
178,Benicia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5494,Other Non-Potable,Valero,Raw Water,5203
178,Benicia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5494,Losses,,Drinking Water,380
178,Benicia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5494,Other Potable,Commercial and Institutional,Drinking Water,345
178,Benicia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5494,Single Family,,Drinking Water,2302
178,Benicia  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5494,Multi-Family,,Drinking Water,468
193,Beverly Hills  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5906,Multi-Family,,Drinking Water,2034
193,Beverly Hills  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5906,Commercial,"(CII) Commercial, Industrial, Institutional/Government",Drinking Water,2095
193,Beverly Hills  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5906,Other Potable,Fire hydrant water,Drinking Water,9
193,Beverly Hills  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5906,Losses,,,292
193,Beverly Hills  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5906,Single Family,,Drinking Water,5135
197,Big Bear Community Services District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,5480,Commercial,,Drinking Water,117
197,Big Bear Community Services District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,5480,Losses,Non-Revenue Water,Drinking Water,119
197,Big Bear Community Services District,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,5480,Single Family,,Drinking Water,831
198,Big Bear Lake  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5544,Commercial,,Drinking Water,445
198,Big Bear Lake  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5544,Losses,,Drinking Water,246
198,Big Bear Lake  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5544,Single Family,,Drinking Water,1464
198,Big Bear Lake  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5544,Multi-Family,,Drinking Water,177
241,Blythe  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5667,Multi-Family,,Drinking Water,395
241,Blythe  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5667,Other,,Drinking Water,2
241,Blythe  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5667,Losses,,Drinking Water,394
241,Blythe  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5667,Single Family,,Drinking Water,1570
241,Blythe  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5667,Industrial,,Drinking Water,16
241,Blythe  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5667,Commercial,Includes Institutional,Drinking Water,485
241,Blythe  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5667,Landscape,,Drinking Water,259
262,Brawley  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5902,Single Family,,Drinking Water,3200.850028
262,Brawley  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5902,Multi-Family,,Drinking Water,619.9153457
262,Brawley  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5902,Commercial,,Drinking Water,420.4376355
262,Brawley  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5902,Industrial,,Drinking Water,705.8442055
262,Brawley  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5902,Other,Churches,Drinking Water,12.2755514
262,Brawley  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5902,Landscape,Irrigation,Drinking Water,18.4133271
262,Brawley  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5902,Other,Trailer Parks,Drinking Water,61.377757
262,Brawley  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5902,Losses,,,1469.99728
262,Brawley  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5902,Other,Schools,Drinking Water,144.237729
262,Brawley  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5902,Institutional/Governmental,,Drinking Water,6.1377757
263,Brea  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5651,Multi-Family,,Drinking Water,1048
263,Brea  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5651,Single Family,,Drinking Water,3627
263,Brea  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5651,Commercial,,Drinking Water,1041
263,Brea  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5651,Industrial,"Includes fire meters, temp meters",Drinking Water,733
263,Brea  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5651,Institutional/Governmental,"Includes city parks (cannot separate out no charge, since all city facilities are no charge)",Drinking Water,848
263,Brea  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5651,Landscape,Groundwater pumped from La Habra Basin,Other Non-Potable Water,92
263,Brea  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5651,Landscape,Represents large landscape (with irrigation meters) served by potable water and not recycled water,Drinking Water,1280
263,Brea  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,No,N/A,5651,Losses,Non-Revenue Water,Drinking Water,462
264,Brentwood  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6905,Other,Potable and non-potable hydrant use,Drinking Water,36.8266542
264,Brentwood  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6905,Landscape,From non-potable water supply,Raw Water,567.7442523
264,Brentwood  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6905,Landscape,Potable water,Drinking Water,1414.757299
264,Brentwood  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6905,Commercial,Includes industrial and institutional/governmental use,Drinking Water,589.2264672
264,Brentwood  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6905,Multi-Family,,Drinking Water,355.9909906
264,Brentwood  City Of,Table 4-1 Retail: Demands for Potable and Non-Potable Water - Actual,Yes,Yes,6905,Single Family,,Drinking Water,8289.066083
